기간,자치구,세대,인구,한국인 총 인구,등록외국인 총 인구,세대당인구,65세이상고령자
2022.1/4,종로구,73766,153684,144275,9409,1.96,28064
2022.1/4,중구,63767,131450,122173,9277,1.92,24742
2022.1/4,용산구,111207,236518,222169,14349,2,39461
2022.1/4,성동구,134533,291609,285073,6536,2.12,46896
2022.1/4,광진구,169483,353110,340707,12403,2.01,52604
2022.1/4,동대문구,169695,352592,337982,14610,1.99,62963
2022.1/4,중랑구,187693,393600,389043,4557,2.07,72851
2022.1/4,성북구,197296,442680,433150,9530,2.2,75719
2022.1/4,강북구,144725,300824,297384,3440,2.05,64961
2022.1/4,도봉구,138836,318100,316098,2002,2.28,65122
2022.1/4,노원구,219065,514445,510486,3959,2.33,89426
2022.1/4,은평구,215178,476013,472259,3754,2.19,88418
2022.1/4,서대문구,145044,317075,305866,11209,2.11,55012
2022.1/4,마포구,180702,378629,368331,10298,2.04,55168
2022.1/4,양천구,181765,449378,446182,3196,2.45,69953
2022.1/4,강서구,272572,578426,573046,5380,2.1,93924
2022.1/4,구로구,181916,419984,396017,23967,2.18,73864
2022.1/4,금천구,118697,244901,231098,13803,1.95,41819
2022.1/4,영등포구,188193,400241,376740,23501,2,63547
2022.1/4,동작구,186419,394649,386017,8632,2.07,67470
2022.1/4,관악구,279353,500336,486375,13961,1.74,80686
2022.1/4,서초구,169895,413677,409823,3854,2.41,61404
2022.1/4,강남구,234612,537338,532577,4761,2.27,79575
2022.1/4,송파구,285106,668261,662607,5654,2.32,99854
2022.1/4,강동구,201926,465097,461300,3797,2.28,75477
